Fact,Value,Unit
The year the first personal computer was introduced,1975,year
The year the first email was sent,1971,year
The year the first website was launched,1991,year
The year the first video game was created,1958,year
The year the first McDonald's restaurant opened,1940,year
The year the first Coca-Cola was sold,1886,year
The year the first chocolate bar was made,1847,year
The year the first pizza was made,997,year
The year the first hamburger was served,1900,year
The year the first dictionary was published,1604,year
The year the first thesaurus was published,1852,year
The year the first English novel was published,1719,year
The year the first English grammar book was published,1586,year
The year the first English newspaper was published,1622,year
The year the Mona Lisa was painted,1503,year
The year the Sistine Chapel ceiling was painted,1508,year
The year the first Impressionist exhibition was held,1874,year
The year the first modern art museum was established,1829,year
The year the first art auction took place,1775,year
The year Facebook was founded,2004,year
The year Twitter was launched,2006,year
The year Instagram was created,2010,year
The year Snapchat was introduced,2011,year
The year TikTok was launched,2016,year
The year Marilyn Monroe was born,1926,year
The year Elvis Presley was born,1935,year
The year Michael Jackson was born,1958,year
The year Beyoncé was born,1981,year
"The year Dwayne ""The Rock"" Johnson was born",1972,year
The year the United States Constitution was signed,1787,year
The year the Magna Carta was signed,1215,year
The year the French Revolution began,1789,year
The year the Berlin Wall fell,1989,year
The year the United Nations was established,1945,year
The year the first newspaper was published,1605,year
The year the first radio broadcast was made,1906,year
The year the first television broadcast was made,1927,year
The year the first 24-hour news channel was launched,1980,year
The year the first online news website was launched,1994,year
The year the first television commercial aired,1941,year
The year the first radio commercial was broadcast,1922,year
The year the first online banner ad appeared,1994,year
The year the first Super Bowl commercial aired,1967,year
The year the first billboard advertisement was displayed,1867,year
The year the first Coachella Valley Music and Arts Festival was held,1999,year
The year the first Glastonbury Festival took place,1970,year
The year the first Burning Man event was held,1986,year
The year the first Comic-Con International was held,1970,year
The year the first Sundance Film Festival was held,1978,year
Number of provinces in Canada,10,provinces
Number of members in the U.S. Cabinet,15,secretaries
Number of electoral votes in the U.S. Electoral College,538,points
Number of members in the U.S. Supreme Court,9,justices
Number of players on a standard cricket field during a game,22,players
Number of players on a standard American football team roster,53,players
The year the first personal computer was introduced,1975,year
The year the first mobile phone call was made,1973,year
The year the first email was sent,1971,year
The year the first website was launched,1991,year
The year the first video game was created,1958,year
The year the first microwave oven was introduced,1947,year
The year the first television broadcast was made,1927,year
The year the first radio broadcast was made,1906,year
The year the first airplane flew,1903,year
The year the first electric light bulb was invented,1879,year
The year the first telephone call was made,1876,year
The year the first computer was invented,1822,year
The year the first steam engine was invented,1712,year
The year the first printing press was invented,1440,year
The year the first compass was invented,206,year
The year the first paper was invented,105,year
The year the first wheel was invented,3500,year
The year the first gunpowder was invented,850,year
The year the first telescope was invented,1608,year
The year the first microscope was invented,1590,year
The year the first barometer was invented,1643,year
The year the first thermometer was invented,1593,year
The year the first radio was invented,1895,year
The year the first television was invented,1927,year
The year the first transistor was invented,1947,year
The year the first laser was invented,1960,year
The year the first computer mouse was invented,1964,year
The year the first video cassette recorder was introduced,1956,year
The year the first digital camera was invented,1975,year
The year the first cell phone was invented,1973,year
The year the first GPS satellite was launched,1978,year
The year the first laptop computer was introduced,1981,year
The year the first smartphone was introduced,2007,year
The year the first tablet computer was introduced,2010,year
The year the first 3D printer was invented,1983,year
The year the first electric car was invented,1828,year
The year the first hybrid car was introduced,1997,year
The year the first solar panel was invented,1954,year
The year the first wind turbine was invented,1887,year
The year the first nuclear reactor was built,1942,year
The year the first artificial satellite was launched,1957,year
The year the first human landed on the moon,1969,year
The year the first space shuttle was launched,1981,year
The year the first Mars rover landed,1997,year
The year the first iPod was released,2001,year
The year the first iPad was released,2010,year
The year the first Kindle was released,2007,year
The year the first Google search was made,1998,year
The year the first Facebook post was made,2004,year
The year the first Twitter tweet was sent,2006,year
The year the first Instagram photo was posted,2010,year
The year the first Snapchat message was sent,2011,year
The year the first TikTok video was posted,2016,year
The year the first Grammys were held,1959,year
The year fhte first Academy Awards were held,1929,year
